true_class_id,class_name,selected_images,mean_confidence,minimum_confidence,maximum_confidence
1,001.Black_footed_Albatross,2,0.570774234831333,0.221746876835823,0.9198015928268432
2,002.Laysan_Albatross,2,0.9401423931121826,0.9193962216377258,0.9608885645866394
3,003.Sooty_Albatross,3,0.7959197759628296,0.5904080867767334,0.9237884879112244
4,004.Groove_billed_Ani,3,0.7809746662775675,0.6455901265144348,0.8718302845954895
5,005.Crested_Auklet,2,0.5684682577848434,0.219650536775589,0.917285978794098
6,006.Least_Auklet,2,0.8641452491283417,0.8597438931465149,0.8685466051101685
7,007.Parakeet_Auklet,2,0.9151157438755035,0.8406970500946045,0.9895344376564026
8,008.Rhinoceros_Auklet,2,0.6943982243537903,0.5143962502479553,0.8744001984596252
9,009.Brewer_Blackbird,2,0.8984774053096771,0.8980926275253296,0.8988621830940247
10,010.Red_winged_Blackbird,3,0.7262898882230123,0.5002129077911377,0.8988558053970337
11,011.Rusty_Blackbird,2,0.6232343763113022,0.3974185287952423,0.8490502238273621
12,012.Yellow_headed_Blackbird,2,0.9514222145080566,0.937515139579773,0.9653292894363404
13,013.Bobolink,3,0.6921483278274536,0.3505788445472717,0.9299172759056092
14,014.Indigo_Bunting,3,0.7441821197668711,0.4141776263713836,0.926054298877716
15,015.Lazuli_Bunting,3,0.9025787313779196,0.8669200539588928,0.9232592582702636
16,016.Painted_Bunting,2,0.8692807257175446,0.8124809861183167,0.9260804653167723
17,017.Cardinal,3,0.8615564902623495,0.7947549223899841,0.96089506149292
18,018.Spotted_Catbird,2,0.725383460521698,0.5134301781654358,0.9373367428779602
19,019.Gray_Catbird,2,0.6985766589641571,0.5948871374130249,0.8022661805152893
20,020.Yellow_breasted_Chat,3,0.7311450640360514,0.6714845895767212,0.808087170124054
21,021.Eastern_Towhee,3,0.6861236989498138,0.414052277803421,0.9585303664207458
22,022.Chuck_will_Widow,2,0.67186139523983,0.3758630454540252,0.9678597450256348
23,023.Brandt_Cormorant,2,0.9314170777797698,0.9252588748931884,0.9375752806663512
24,024.Red_faced_Cormorant,2,0.7922772765159607,0.7774744629859924,0.807080090045929
25,025.Pelagic_Cormorant,2,0.6327578127384186,0.4166075587272644,0.8489080667495728
26,026.Bronzed_Cowbird,3,0.5558016300201416,0.3172248005867004,0.715548038482666
27,027.Shiny_Cowbird,2,0.5248386114835739,0.2433319985866546,0.8063452243804932
28,028.Brown_Creeper,3,0.8996971050898234,0.8196565508842468,0.9631255865097046
29,029.American_Crow,2,0.919484943151474,0.9131786823272704,0.9257912039756776
30,030.Fish_Crow,2,0.5917642116546631,0.4815727472305298,0.7019556760787964
31,031.Black_billed_Cuckoo,2,0.7103918790817261,0.5853736996650696,0.8354100584983826
32,032.Mangrove_Cuckoo,2,0.7716379761695862,0.6972905993461609,0.8459853529930115
33,033.Yellow_billed_Cuckoo,2,0.7561712861061096,0.7066302299499512,0.8057123422622681
34,034.Gray_crowned_Rosy_Finch,3,0.7682246565818787,0.7174649834632874,0.8005887269973755
35,035.Purple_Finch,3,0.8760351141293844,0.8480362296104431,0.8922001719474792
36,036.Northern_Flicker,3,0.7896823883056641,0.480219304561615,0.9549452662467957
37,037.Acadian_Flycatcher,2,0.6605286300182343,0.5146615505218506,0.8063957095146179
38,038.Great_Crested_Flycatcher,2,0.5362140163779259,0.2344831079244613,0.8379449248313904
