source_type,corruption_type,severity,masking_fraction,image_count,mean_original_probability,mean_explanation_drop,median_explanation_drop,mean_compact_random_drop,mean_relocated_explanation_drop,mean_advantage_over_compact_random,mean_advantage_over_relocated_explanation,explanation_beats_compact_random_rate,explanation_beats_relocated_rate,mean_relative_explanation_drop,mean_relative_compact_random_drop,mean_relative_relocated_drop
clean,clean,0,0.1,500,0.7611009644865989,0.5032375390678644,0.5413334667682648,0.09842695258825551,0.17083244707982523,0.4048105862308294,0.3324050915511325,0.914,0.88,0.6665409957780503,0.13391031750387627,0.24013847396027996
clean,clean,0,0.2,500,0.7611009644865989,0.6830042630881071,0.7699669003486633,0.19586663470044732,0.3602296136013465,0.4871376282013953,0.32277464964613317,0.974,0.92,0.8868982350155711,0.2689923099365551,0.49134239003388214
clean,clean,0,0.3,500,0.7611009644865989,0.7239545839130879,0.8037244081497192,0.30878882683592385,0.5370257403366268,0.41516575786471366,0.18692884419858455,0.978,0.902,0.9387434278726577,0.41545262310653924,0.7127459146305919
corrupted,brightness,1,0.1,490,0.7696108621145997,0.5078537057400966,0.5614827871322632,0.10203223239013638,0.16815283011559568,0.40582147412458247,0.3397008757506098,0.9102040816326531,0.8673469387755102,0.6635621002138169,0.13406806456834452,0.22719898272331118
corrupted,brightness,1,0.2,490,0.7696108621145997,0.6884182269323845,0.7776659429073334,0.19604492231890022,0.35930632186545136,0.4923733042058896,0.32911190499114445,0.9734693877551021,0.9306122448979591,0.8841957923405025,0.2622608178713637,0.48131416401854354
corrupted,brightness,1,0.3,490,0.7696108621145997,0.7316328350074437,0.8071784675121307,0.3223371843679105,0.5320875982886979,0.4092956492525278,0.19954523716349992,0.9836734693877551,0.889795918367347,0.9411528681499921,0.4239137874821163,0.7009868665123168
corrupted,brightness,3,0.1,482,0.7696239235366529,0.5099949522863656,0.5952197909355164,0.10006349958381647,0.17607440792473494,0.40993145153146715,0.3339205442326862,0.9087136929460581,0.8755186721991701,0.6647827642635515,0.1355411462562837,0.23591225117900147
corrupted,brightness,3,0.2,482,0.7696239235366529,0.6896483803407533,0.7789003252983093,0.2119431188977343,0.37506588481597775,0.477705261225646,0.3145824954188062,0.9626556016597511,0.9253112033195021,0.8779767702383866,0.28370847878494604,0.4934320895670801
corrupted,brightness,3,0.3,482,0.7696239235366529,0.732635450468271,0.8078131079673767,0.3378648488902264,0.5331888598795929,0.39477060159428734,0.199446590918723,0.979253112033195,0.9024896265560166,0.9404543417262462,0.44628719892401125,0.694762293238017
corrupted,brightness,5,0.1,460,0.7644565186017881,0.5160320870659274,0.5650445520877838,0.10243758953379059,0.1725428354587917,0.4135944973717889,0.34348925178992035,0.9195652173913044,0.8913043478260869,0.6791665503132643,0.1386639491028014,0.2386342770208063
