epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.0001,4.857868673306685,0.0821689259645464,0.0819278106118072,3.5878298789685323,0.33611342785654713,0.278294245739107,2048.5115823745728
2,0.0001,3.0561834492946938,0.4346193952033368,0.41468947402312034,2.3893037874366563,0.5963302752293578,0.5682365411985731,75.87770009040833
3,0.0001,2.120008680271033,0.6759124087591241,0.666920344987629,1.990423916179603,0.6788990825688074,0.6677422473859579,88.14030003547668
4,0.0001,1.6978501700261088,0.8,0.7977010056814087,1.8055057466974649,0.7214345287739783,0.714048883478063,85.08813977241516
5,0.0001,1.4548707903861005,0.8659019812304484,0.8646791700499188,1.734282982558186,0.7406171809841534,0.7325024754657108,88.37543630599976
6,0.0001,1.307261458378017,0.908237747653806,0.907448764253028,1.6683569519195685,0.762301918265221,0.7574622637854063,89.13830828666687
7,0.0001,1.198139711117471,0.9418143899895725,0.941572995626661,1.6639322493849842,0.7564637197664721,0.7511634395016747,88.16057467460632
8,0.0001,1.1424636056699147,0.9582898852971846,0.9581526376215318,1.6452269828548225,0.7689741451209341,0.7628157153304213,80.53339552879333
9,0.0001,1.092305366985492,0.9618352450469239,0.9617116182242246,1.6448358844179627,0.7689741451209341,0.7643002332634687,87.55334711074829
10,0.0001,1.0525726015798988,0.9772679874869656,0.9771980611640277,1.6671636927813864,0.7689741451209341,0.7644215404161057,87.66821265220642
11,0.0001,1.0162517187866353,0.9851929092805005,0.9851078352956971,1.6481836361125473,0.780650542118432,0.7767724105529834,88.13173866271973
12,0.0001,0.9927816010615376,0.9924921793534932,0.9924834086394348,1.6398666320590798,0.7773144286905754,0.7752815860180411,86.54723119735718
13,0.0001,0.9843453371487519,0.9914494264859228,0.9914398389204586,1.6489658679834895,0.7731442869057548,0.7678575589469383,81.71324253082275
14,0.0001,0.9689403534929993,0.9952033368091763,0.9952061489844165,1.646189607512066,0.7831526271893244,0.7804230891657363,79.26873540878296
15,0.0001,0.9622982966265912,0.9943691345151199,0.9943604356636271,1.6186832919331566,0.7814845704753962,0.7763610023017918,89.18178343772888
16,0.0001,0.9527388240796308,0.9964546402502606,0.9964525319841167,1.6564638377031353,0.762301918265221,0.759539522923794,80.33642745018005
17,5e-05,0.95088743370442,0.9954118873826903,0.9954237335359676,1.619619689254188,0.773978315262719,0.7695068126318125,82.25571942329407
18,5e-05,0.9323715482936537,0.9966631908237747,0.9966650265564135,1.5968238772502832,0.7856547122602169,0.7819065444359563,80.71136450767517
19,5e-05,0.9192720961893935,0.9989572471324296,0.9989580619481836,1.5769454621592593,0.8015012510425354,0.7984071892160128,87.49467968940735
20,5e-05,0.9127704788049891,0.9993743482794578,0.9993747286148502,1.595225139097734,0.7956630525437864,0.7937491740285858,87.65632653236389
