corruption_type,severity,image_count,accuracy,macro_f1,prediction_preservation_rate,correct_and_preserved_rate,mean_clean_confidence,mean_corrupted_confidence,mean_confidence_drop,median_confidence_drop,incorrect_images
brightness,1,500,0.98,0.9741428571428571,0.98,0.98,0.7611008580625057,0.7599568474441767,0.0011440106183290438,0.00113677978515625,10
brightness,3,500,0.964,0.9527142857142857,0.964,0.964,0.7611008580625057,0.7547065828442574,0.0063942752182483634,0.0027156472206115723,18
brightness,5,500,0.92,0.9049642857142857,0.92,0.92,0.7611008580625057,0.728583288423717,0.0325175696387887,0.010390669107437078,40
gaussian_noise,1,500,0.932,0.9150595238095238,0.932,0.932,0.7611008580625057,0.7259816584810614,0.035119199581444265,0.011673487722873688,34
gaussian_noise,3,500,0.826,0.8025674603174602,0.826,0.826,0.7611008580625057,0.6266262470334768,0.13447461102902888,0.07763707637786865,87
gaussian_noise,5,500,0.638,0.5999348845598845,0.638,0.638,0.7611008580625057,0.46431618003174663,0.2967846780307591,0.26891759037971497,181
motion_blur,1,500,0.922,0.9082619047619047,0.922,0.922,0.7611008580625057,0.6886937316656113,0.07240712639689445,0.02938944101333618,39
motion_blur,3,500,0.776,0.7514880952380952,0.776,0.776,0.7611008580625057,0.5734088920205832,0.18769196604192256,0.13583245873451238,112
motion_blur,5,500,0.568,0.5179617604617605,0.568,0.568,0.7611008580625057,0.42200472609326245,0.33909613196924326,0.3378293663263321,216
