corruption_type,severity,image_count,mean_pearson,mean_spearman,mean_cosine,mean_ssim,mean_top20_iou,mean_centroid_displacement,mean_clean_object_mass,mean_corrupted_object_mass,mean_object_mass_drop,clean_pointing_accuracy,corrupted_pointing_accuracy,pointing_preservation_rate,mean_clean_salient_object_iou,mean_corrupted_salient_object_iou
brightness,1,490,0.9917186940202908,0.9583655479017326,0.9932282348068393,0.979437773798947,0.9390769112443172,0.0062974609507614986,0.6133156828877305,0.6158753585927295,-0.0025596757049988986,0.8204081632653061,0.826530612244898,0.8061224489795918,0.40222509621946234,0.4012603132225724
brightness,3,482,0.9714137637114376,0.9153179729415682,0.9762794639281465,0.9518556481916075,0.8951897146960028,0.012134333540290696,0.6186643146561469,0.6179748021411654,0.0006895125149814067,0.8319502074688797,0.8215767634854771,0.7904564315352697,0.4053410244039088,0.4014332165024777
brightness,5,460,0.9427942101357748,0.8671676810372314,0.9522825497101345,0.9159464049026758,0.8484969418082838,0.020400047580503157,0.6245007524886033,0.6205819583356619,0.003918794152941371,0.8434782608695652,0.8152173913043478,0.7782608695652173,0.40940293939318023,0.39981093309319193
gaussian_noise,1,466,0.9487275094885075,0.8766669055410672,0.9567299049663409,0.9262367041481471,0.8590366358518282,0.020265031315913673,0.6224294215905186,0.61517082937227,0.007258592218248676,0.8347639484978541,0.8240343347639485,0.7918454935622318,0.41049356887958577,0.39755369779705657
gaussian_noise,3,413,0.8526937259388208,0.7691962615639379,0.877495674955086,0.841330960903957,0.739349415581473,0.04061333032348339,0.6296800401988895,0.5911996794833599,0.0384803607155295,0.8523002421307506,0.7869249394673123,0.7530266343825666,0.4167625694752756,0.37288584470584163
gaussian_noise,5,319,0.6664664556285466,0.5890532002005112,0.7190938138992751,0.7362466383373454,0.574582932677861,0.07103014919563279,0.638133662916925,0.5240575047623652,0.1140761581545597,0.8746081504702194,0.6865203761755486,0.6489028213166145,0.42689346587112353,0.31341384658808047
motion_blur,1,461,0.8931748704204978,0.8529629542214281,0.9114520256801503,0.8898467228649162,0.7973945549795034,0.029096935134222558,0.6220121307146158,0.5955963779866927,0.026415752727923132,0.8286334056399133,0.789587852494577,0.7527114967462039,0.4099602196018014,0.3825737209050028
motion_blur,3,388,0.7744362114030945,0.7242404927004017,0.8113008585045858,0.8074002752894592,0.6768210559222563,0.05358024692314718,0.6341407450675974,0.569581196441799,0.06455954862579834,0.865979381443299,0.7603092783505154,0.7164948453608248,0.4188743592054158,0.3502100777625266
motion_blur,5,284,0.6356066517485962,0.5914802715078802,0.6952386191336136,0.7318317835978494,0.5587435232175915,0.07207811752883139,0.6408070625404321,0.526173655491663,0.11463340704876909,0.8732394366197183,0.6725352112676056,0.647887323943662,0.4212960204292247,0.3105338784422746
